frame_index,timestamp,num_features,grid_coverage,dropout_ratio,flat_region_ratio,degradation_score,exported_features,median_track_age,median_quality,median_backend_quality,median_classical_backend_quality,median_learned_backend_quality,recovery_reason,recovered_count,geometry_mode,learned_candidate_count,learned_confirmed_count,learned_confirmed_xfeat_count,proposer_confirmed_classical_gftt_count,learned_confirmed_age_median,pending_learned_count,pending_learned_age_median,pending_xfeat_count,pending_xfeat_age_median,source_provenance_count,source_provenance_learned_count,source_provenance_xfeat_count,learned_mode,learned_mode_before_sparse_h,learned_mode_after_sparse_h,loftr_sparse_h_allowed,loftr_sparse_h_reason,klt_degeneracy_loftr_allowed,klt_degeneracy_loftr_reason,klt_degeneracy_loftr_score,semidense_acceptance,semidense_raw_candidates,semidense_post_validate_candidates,semidense_accepted_candidates,semidense_queued_pending,semidense_grid_gain,semidense_new_cell_ratio,semidense_before_f_inlier,semidense_after_f_inlier,semidense_before_h_inlier,semidense_after_h_inlier,semidense_before_epipolar,semidense_after_epipolar,semidense_before_homography,semidense_after_homography,pending_loftr_count,pending_loftr_age_median,loftr_confirmed_promoted,exported_learned_features,exported_non_loftr_learned_features,exported_sp_lg_features,exported_xfeat_features,exported_classical_gftt_features,exported_loftr_features,exported_loftr_early_persisted_features,exported_recovered_features,exported_learned_median_age,exported_non_loftr_learned_median_age,exported_xfeat_median_age,exported_loftr_median_age,exported_learned_age_lt3,exported_xfeat_age_lt3,exported_loftr_age_lt3,exported_learned_median_visible_streak,exported_xfeat_median_visible_streak,exported_loftr_median_visible_streak,exported_learned_median_motion_px,exported_xfeat_median_motion_px,exported_loftr_median_motion_px,pre_gate_sidecar_total,pre_gate_sidecar_confirmed,pre_gate_sidecar_age_ok,pre_gate_sidecar_quality_ok,pre_gate_sidecar_ncc_ok,pre_gate_sidecar_fb_ok,pre_gate_sidecar_basic_ok,pre_gate_loftr_total,pre_gate_loftr_basic_ok,pre_gate_non_loftr_total,pre_gate_non_loftr_basic_ok,source_selection_dropped,selected_feature_index,published_feature_frame,init_parallax_gate_triggered,init_parallax_mean_step_px,init_parallax_skipped_feature,init_klt_only_active,adaptive_warmup_full_mirror_enabled,adaptive_warmup_full_mirror_reason,low_parallax_learned_holdoff_active,state_adaptive_q_triggered,state_adaptive_q_active,backend_xfeat_risk_q_active,backend_xfeat_quality_const_effective,backend_xfeat_risk_learned_frames,backend_xfeat_risk_cumulative_gftt,learned_export_gate_active,learned_export_gate_degraded,learned_export_gate_reason,learned_export_loftr_min_quality,learned_export_loftr_min_age,learned_export_loftr_min_ncc,learned_export_loftr_max_fb,export_classical_mirror_backbone,classical_track_count,classical_grid_coverage,learned_export_gate_dropped,learned_export_geometry_dropped,learned_export_geometry_reason,learned_export_benefit_dropped,learned_export_benefit_reason,learned_export_temporal_dropped,learned_export_temporal_reason,learned_export_temporal_recent_frames,learned_export_health_suppression_dropped,learned_export_health_suppression_reason,learned_export_recent_healthy_frames,learned_export_recovery_reason_suppression_dropped,learned_export_recovery_reason_suppression_reason,learned_export_recovery_burst_suppression_dropped,learned_export_recovery_burst_suppression_reason,learned_export_recovery_burst_recent_frames,learned_export_grid_gain,learned_export_new_cells,learned_export_new_cell_ratio,learned_export_weak_cells,classical_motion_px,classical_median_age,tracker_source_histogram,export_source_histogram
10,1532199345.108863115,350,0.7083333333333334,0.014285714285714285,0.0,0.14660085584429572,350,11.0,0.4652118384838104,0.9001979827880859,0.9001979827880859,nan,n/a,0,n/a,0,0,0,0,nan,0,nan,0,nan,0,0,0,n/a,n/a,n/a,0,n/a,0,n/a,0.0,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,nan,0,0,0,policy_inactive,0,0,0,0,none,0,0,0,0,disabled,none,none,none,none,0,350,0.7083333333333334,0,0,disabled,0,disabled,0,disabled,0,0,disabled,0,0,disabled,0,disabled,0,nan,0,nan,0,nan,nan,gftt:5;klt:345,gftt:5;klt:345
11,1532199345.159737110,350,0.7083333333333334,0.017142857142857144,0.0,0.1465003049171112,350,12.0,0.47804850339889526,0.9011677503585815,0.9011677503585815,nan,n/a,0,n/a,0,0,0,0,nan,0,nan,0,nan,0,0,0,n/a,n/a,n/a,0,n/a,0,n/a,0.0,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,nan,0,0,0,policy_inactive,0,0,0,0,none,0,0,0,0,disabled,none,none,none,none,0,350,0.7083333333333334,0,0,disabled,0,disabled,0,disabled,0,0,disabled,0,0,disabled,0,disabled,0,nan,0,nan,0,nan,nan,gftt:6;klt:344,gftt:6;klt:344
12,1532199345.208590031,350,0.6666666666666666,0.011428571428571429,0.0,0.14647375616749336,350,13.0,0.48886343836784363,0.9040212631225586,0.9040212631225586,nan,n/a,0,n/a,0,0,0,0,nan,0,nan,0,nan,0,0,0,n/a,n/a,n/a,0,n/a,0,n/a,0.0,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,nan,0,0,0,policy_inactive,0,0,0,0,none,0,0,0,0,disabled,none,none,none,none,0,350,0.6666666666666666,0,0,disabled,0,disabled,0,disabled,0,0,disabled,0,0,disabled,0,disabled,0,nan,0,nan,0,nan,nan,gftt:4;klt:346,gftt:4;klt:346
13,1532199345.259458542,350,0.6666666666666666,0.0,0.0,0.1460017450690989,350,14.0,0.4977213740348816,0.9059066772460938,0.9059066772460938,nan,n/a,0,n/a,0,0,0,0,nan,0,nan,0,nan,0,0,0,n/a,n/a,n/a,0,n/a,0,n/a,0.0,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,nan,0,0,0,policy_inactive,0,0,0,0,none,0,0,0,0,disabled,none,none,none,none,0,350,0.6666666666666666,0,0,disabled,0,disabled,0,disabled,0,0,disabled,0,0,disabled,0,disabled,0,nan,0,nan,0,nan,nan,klt:350,klt:350
14,1532199345.308307648,350,0.625,0.022857142857142857,0.0,0.1452259161014393,350,15.0,0.5247153043746948,0.9084997773170471,0.9084997773170471,nan,n/a,0,n/a,0,0,0,0,nan,0,nan,0,nan,0,0,0,n/a,n/a,n/a,0,n/a,0,n/a,0.0,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,nan,0,0,0,policy_inactive,0,0,0,0,none,0,0,0,0,disabled,none,none,none,none,0,350,0.625,0,0,disabled,0,disabled,0,disabled,0,0,disabled,0,0,disabled,0,disabled,0,nan,0,nan,0,nan,nan,gftt:8;klt:342,gftt:8;klt:342
15,1532199345.357150078,350,0.6666666666666666,0.017142857142857144,0.0,0.14480644754424676,350,16.0,0.5345693826675415,0.9103449583053589,0.9103449583053589,nan,n/a,0,n/a,0,0,0,0,nan,0,nan,0,nan,0,0,0,n/a,n/a,n/a,0,n/a,0,n/a,0.0,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,nan,0,0,0,policy_inactive,0,0,0,0,none,0,0,0,0,disabled,none,none,none,none,0,350,0.6666666666666666,0,0,disabled,0,disabled,0,disabled,0,0,disabled,0,0,disabled,0,disabled,0,nan,0,nan,0,nan,nan,gftt:6;klt:344,gftt:6;klt:344
16,1532199345.408054590,350,0.625,0.022857142857142857,0.0,0.1443809698584939,350,17.0,0.5578794479370117,0.9129577875137329,0.9129577875137329,nan,n/a,0,n/a,0,0,0,0,nan,0,nan,0,nan,0,0,0,n/a,n/a,n/a,0,n/a,0,n/a,0.0,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,nan,0,0,0,policy_inactive,0,0,0,0,none,0,0,0,0,disabled,none,none,none,none,0,350,0.625,0,0,disabled,0,disabled,0,disabled,0,0,disabled,0,0,disabled,0,disabled,0,nan,0,nan,0,nan,nan,gftt:8;klt:342,gftt:8;klt:342
17,1532199345.456864119,350,0.625,0.017142857142857144,0.0,0.14386638768550797,350,18.0,0.5807154178619385,0.918106198310852,0.918106198310852,nan,n/a,0,n/a,0,0,0,0,nan,0,nan,0,nan,0,0,0,n/a,n/a,n/a,0,n/a,0,n/a,0.0,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,nan,0,0,0,policy_inactive,0,0,0,0,none,0,0,0,0,disabled,none,none,none,none,0,350,0.625,0,0,disabled,0,disabled,0,disabled,0,0,disabled,0,0,disabled,0,disabled,0,nan,0,nan,0,nan,nan,gftt:6;klt:344,gftt:6;klt:344
18,1532199345.507776260,350,0.625,0.014285714285714285,0.0,0.14315785754983246,350,19.0,0.5985010862350464,0.9210128784179688,0.9210128784179688,nan,n/a,0,n/a,0,0,0,0,nan,0,nan,0,nan,0,0,0,n/a,n/a,n/a,0,n/a,0,n/a,0.0,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,nan,0,0,0,policy_inactive,0,0,0,0,none,0,0,0,0,disabled,none,none,none,none,0,350,0.625,0,0,disabled,0,disabled,0,disabled,0,0,disabled,0,0,disabled,0,disabled,0,nan,0,nan,0,nan,nan,gftt:5;klt:345,gftt:5;klt:345
19,1532199345.556618929,350,0.5833333333333334,0.011428571428571429,0.0,0.14388457436385127,350,20.0,0.5940028429031372,0.9192975163459778,0.9192975163459778,nan,n/a,0,n/a,0,0,0,0,nan,0,nan,0,nan,0,0,0,n/a,n/a,n/a,0,n/a,0,n/a,0.0,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,nan,0,0,0,policy_inactive,0,0,0,0,none,0,0,0,0,disabled,none,none,none,none,0,350,0.5833333333333334,0,0,disabled,0,disabled,0,disabled,0,0,disabled,0,0,disabled,0,disabled,0,nan,0,nan,0,nan,nan,gftt:4;klt:346,gftt:4;klt:346
20,1532199345.607484818,350,0.5833333333333334,0.008571428571428572,0.0,0.14458106486995925,350,21.0,0.6105800867080688,0.9220334887504578,0.9220334887504578,nan,n/a,0,n/a,0,0,0,0,nan,0,nan,0,nan,0,0,0,n/a,n/a,n/a,0,n/a,0,n/a,0.0,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,nan,0,0,0,policy_inactive,0,0,0,0,none,0,0,0,0,disabled,none,none,none,none,0,350,0.5833333333333334,0,0,disabled,0,disabled,0,disabled,0,0,disabled,0,0,disabled,0,disabled,0,nan,0,nan,0,nan,nan,gftt:3;klt:347,gftt:3;klt:347
21,1532199345.656331539,350,0.5833333333333334,0.0,0.0,0.14588717060085532,350,22.0,0.6077156066894531,0.9223331212997437,0.9223331212997437,nan,n/a,0,n/a,0,0,0,0,nan,0,nan,0,nan,0,0,0,n/a,n/a,n/a,0,n/a,0,n/a,0.0,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,nan,0,0,0,policy_inactive,0,0,0,0,none,0,0,0,0,disabled,none,none,none,none,0,350,0.5833333333333334,0,0,disabled,0,disabled,0,disabled,0,0,disabled,0,0,disabled,0,disabled,0,nan,0,nan,0,nan,nan,klt:350,klt:350
22,1532199345.705179453,350,0.5833333333333334,0.002857142857142857,0.0,0.14682975552789923,350,23.0,0.6059101223945618,0.9219924211502075,0.9219924211502075,nan,n/a,0,n/a,0,0,0,0,nan,0,nan,0,nan,0,0,0,n/a,n/a,n/a,0,n/a,0,n/a,0.0,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,nan,0,0,0,policy_inactive,0,0,0,0,none,0,0,0,0,disabled,none,none,none,none,0,350,0.5833333333333334,0,0,disabled,0,disabled,0,disabled,0,0,disabled,0,0,disabled,0,disabled,0,nan,0,nan,0,nan,nan,gftt:1;klt:349,gftt:1;klt:349
23,1532199345.756037235,350,0.5,0.011428571428571429,0.0,0.1471615813874414,350,24.0,0.6005904674530029,0.9205898642539978,0.9205898642539978,nan,n/a,0,n/a,0,0,0,0,nan,0,nan,0,nan,0,0,0,n/a,n/a,n/a,0,n/a,0,n/a,0.0,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,nan,0,0,0,policy_inactive,0,0,0,0,none,0,0,0,0,disabled,none,none,none,none,0,350,0.5,0,0,disabled,0,disabled,0,disabled,0,0,disabled,0,0,disabled,0,disabled,0,nan,0,nan,0,nan,nan,gftt:4;klt:346,gftt:4;klt:346
24,1532199345.804883957,350,0.5,0.002857142857142857,0.0,0.14826993888271445,350,25.0,0.6142157316207886,0.9246736764907837,0.9246736764907837,nan,n/a,0,n/a,0,0,0,0,nan,0,nan,0,nan,0,0,0,n/a,n/a,n/a,0,n/a,0,n/a,0.0,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,nan,0,0,0,policy_inactive,0,0,0,0,none,0,0,0,0,disabled,none,none,none,none,0,350,0.5,0,0,disabled,0,disabled,0,disabled,0,0,disabled,0,0,disabled,0,disabled,0,nan,0,nan,0,nan,nan,gftt:1;klt:349,gftt:1;klt:349
25,1532199345.855758190,350,0.5,0.0,0.0,0.14895562812467156,350,26.0,0.6208411455154419,0.926375150680542,0.926375150680542,nan,n/a,0,n/a,0,0,0,0,nan,0,nan,0,nan,0,0,0,n/a,n/a,n/a,0,n/a,0,n/a,0.0,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,nan,0,0,0,policy_inactive,0,0,0,0,none,0,0,0,0,disabled,none,none,none,none,0,350,0.5,0,0,disabled,0,disabled,0,disabled,0,0,disabled,0,0,disabled,0,disabled,0,nan,0,nan,0,nan,nan,klt:350,klt:350
